"quote";"author";"context";"source";"date"
"Mais sujo que pé de guri.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais branco que catarina assustado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais duro que trança de beata.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais triste que tia em baile.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais linda que manta de charque gordo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais feio do que encoxar a avó no tanque de lavar roupa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Uma Linda Mulher -- Uma Chinoca Buenacha ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Poderoso Chefão -- O Bagual Cuiudo ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Exorcista -- Vem Capeta, Que te Arreganho a Facão! ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Os Sete Samurais -- Sete Gaudérios Ca's Vista Estreita";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Godzila -- A la fresca! Que Baita Lagarto! ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Os Brutos Também Amam -- Rebenqueados de Amor ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Sansão e Dalila -- O Clinudo e a China ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Perfume de Mulher -- Asa de Chinoca ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Tora, Tora, Tora! -- Mas Bah! Mas Bah! Mas Bah! ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Mamãe Faz Cem anos -- A Véia tá Cheirando a Defunto ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Guerra Nas Estrelas -- Peleia no Firmamento ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Um Peixe Chamado Wanda -- O Muçum-Prenda";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Corcunda de Notre Dame -- O Tortinho Estropiado ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Fim Dos Dias -- O Bagualão contra o Demo ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Um Cidadão Acima de Qualquer Suspeita -- Boi Manso é Que Arromba a
Porteira";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Os Filhos do Silêncio -- Em Boca Fechada não Entra Mosca ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

A Pantera Cor-de-rosa -- Gato-do-Mato Fresco ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Corra Que A Polícia Vem Aí -- Vamo Saí Fedendo Que vem Vindo os Milico ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

E O Vento Levou -- Oigalê! O Minuano Levô! ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Náufrago -- Mais Perdido que Cusco em Tiroteio";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Náufrago -- No Mato sem Cachorro ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

O Homem Bicentenário -- Guasca de Ferro ";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Se o filme fosse gaúcho...

Querida Encolhi As Crianças -- China Véia! encolhi as Cria.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais ligado que rádio de preso.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Firme que nem prego em polenta.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Saracoteando mais que bolacha dura em boca de velha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais pesado que sono de surdo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais angustiado que barata de barriga pra cima.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais ansioso que anão em comício.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que xingamento de gago.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais difícil que nadar de poncho e bombacha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais espalhado que espirro em farofa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais gorduroso que telefone de açougueiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais perdido que cebola em salada de frutas.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais chato que chinelo de gordo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
